Alimento,Cantidad_sugerida,Unidad,Peso_bruto,Peso_neto,Energia,Proteina,Lipidos,Carbohidratos,Fibra,Vitamina_A,Acido_Ascorbico,Acido_Folico,Hierro,Potasio,Calcio,Selenio,Fosforo,Sodio,Colesterol,AG_saturados,AG_monoinsaturados,AG_poliinsaturados,Azucar,IG,CG,Grupo
Arroz salvaje cocido, 1/3,taza,54,54,55,2.1,0.2,11.6,1,0,0,14.1,0.3,0,1.7,0,0,1.7,0,0,0,0,0.4,54,6.264,Cereales sin grasa
Rambután en almibar, 1/4,taza,54,54,44,0.4,0.1,11.2,0.5,0,2.5,4.3,0.2,22.5,0,0,0,0,0,0,0,0,0,33,3.696,Frutas
Cebolla cocida, 1/4,taza,53,53,23,0.7,0.1,5.3,0.7,0,2.7,7.9,0.1,87,0,0,0,0,0,0,0,0,0,15,0.795,Verduras
Chícharo en vaina cocido, 1/3,taza,53,53,21,1.7,0.1,3.4,1.5,27.7,25.5,15.5,1.1,128,0,0,0,0,0,0,0,0,0,48,1.632,Verduras
Arroz precocido cocido, 1/3,taza,52,52,64,1.5,0.2,13.6,0.5,0,0,1.6,0.1,0,9.9,0,0,1,0,0,0,0,0.1,48,6.528,Cereales sin grasa
Mousse de chocolate sin grasa, 1/4,taza,50,50,47,1,0.2,10.4,0,0,0,0,0,0,0,0,0,55,0,0,0,0,7.9,31,3,Azúcares sin grasa
Mejillones sin concha crudos, 1/3,taza,50,50,43,5.9,1.1,1.8,0,23.8,0,0,2,0,12.9,22.2,0,141.6,13.9,0,0,0,0,0,0,AOAMBG
Zanahoria rallada cruda, 1/2,taza,50,50,23,0.5,0.1,4.1,1.5,459.3,3.2,10.5,0.2,176,0,0,0,0,0,0,0,0,0,47,1.927,Verduras
Espagueti cocido, 1/3,taza,47,47,57,2.5,0.2,12.3,2.1,0,0,2.3,0.5,0,7,0,0,1.4,0,0,0,0,0.4,44,5.412,Cereales sin grasa
Jaiba cocida desmenuzada, 1/3,taza,47,47,39,8.1,0.6,0,0,303.8,0,0,0.4,0,20.1,6.5,0,19.1,36.4,0,0,0,0,0,0,AOAMBG
Pulpa de jaiba, 1/3,taza,46,46,38,8,0.6,0,0,300.8,0,0,0.4,0,19.9,6.5,0,18.9,36,0,0,0,0,0,0,AOAMBG
Chícharo cocido sin vaina, 1/4,taza,40,40,34,2.1,0.1,6.1,2.2,16,5.7,25.2,0.6,108.4,0,0,0,0,0,0,0,0,0,48,2.928,Verduras
Pollo deshebrado, 1/4,taza,38,38,43,8.7,0.6,0,0,3,0,0,0.3,0,4.5,2.1,0,25.5,21.8,0,0,0,0,0,0,AOAMBG
Anillos de calamar, 1/4,taza,38,38,34,5.9,0.5,1.2,0,3.8,0,0,0.3,0,11.9,16.8,0,16.3,87.4,0,0,0,0,0,0,AOAMBG
Betabel crudo rallado, 1/4,taza,38,38,18,0.8,0.1,4.1,0.3,0.8,7.5,34.9,0.6,125.6,0,0,0,0,0,0,0,0,0,70,2.87,Verduras
Cangrejo enlatado, 1/4,taza,34,34,33,6.9,0.4,0,0,0.8,0,0,0.3,0,34.1,10.7,0,112.4,30.2,0,0,0,0,0,0,AOAMBG
Camarón enlatado, 1/4,taza,32,32,32,6.5,0.4,0,0,0,0,0,0.7,0,46.4,15.2,0,248.6,80.6,0,0,0,0,0,0,AOAMBG
